@timestamp,memory,cpu
2023-07-26 08:31:36.870000+00:00,0.6692,
2023-07-26 08:31:45.014000+00:00,,0.9885
2023-07-26 08:31:46.870000+00:00,0.6723,
2023-07-26 08:31:55.014000+00:00,,0.9985
2023-07-26 08:31:56.870000+00:00,0.6727,
2023-07-26 08:32:05.014000+00:00,,0.9875
2023-07-26 08:32:06.870000+00:00,0.6731,
2023-07-26 08:32:15.014000+00:00,,0.998
2023-07-26 08:32:16.870000+00:00,0.6744,
2023-07-26 08:32:25.014000+00:00,,0.999
2023-07-26 08:32:26.870000+00:00,0.6745,
2023-07-26 08:32:35.014000+00:00,,0.9985
2023-07-26 08:32:36.870000+00:00,0.6779,
2023-07-26 08:32:45.014000+00:00,,0.9995
2023-07-26 08:32:46.870000+00:00,0.6787,
2023-07-26 08:32:55.014000+00:00,,0.9835
2023-07-26 08:32:56.870000+00:00,0.6773,
2023-07-26 08:33:05.014000+00:00,,0.992
2023-07-26 08:33:06.871000+00:00,0.6781,
2023-07-26 08:33:15.014000+00:00,,1.0
2023-07-26 08:33:16.870000+00:00,0.6819,
2023-07-26 08:33:25.014000+00:00,,0.998
2023-07-26 08:33:26.870000+00:00,0.6851,
2023-07-26 08:33:35.014000+00:00,,0.999
2023-07-26 08:33:36.870000+00:00,0.6858,
2023-07-26 08:33:45.014000+00:00,,0.999
2023-07-26 08:33:46.870000+00:00,0.6851,
2023-07-26 08:33:55.014000+00:00,,1.0
2023-07-26 08:33:56.870000+00:00,0.6869,
2023-07-26 08:34:05.014000+00:00,,1.0
2023-07-26 08:34:06.871000+00:00,0.6866,
2023-07-26 08:34:15.014000+00:00,,1.0
2023-07-26 08:34:16.870000+00:00,0.6884,
2023-07-26 08:34:25.014000+00:00,,1.0
2023-07-26 08:34:26.871000+00:00,0.6893,
2023-07-26 08:34:35.014000+00:00,,0.9995
2023-07-26 08:34:36.870000+00:00,0.688,
2023-07-26 08:34:45.014000+00:00,,1.0
2023-07-26 08:34:46.870000+00:00,0.6889,
2023-07-26 08:34:55.014000+00:00,,1.0
2023-07-26 08:34:56.870000+00:00,0.6895,
2023-07-26 08:35:05.014000+00:00,,1.0
2023-07-26 08:35:06.870000+00:00,0.6896,
2023-07-26 08:35:15.014000+00:00,,0.9995
2023-07-26 08:35:16.870000+00:00,0.6905,
2023-07-26 08:35:25.014000+00:00,,1.0
2023-07-26 08:35:26.870000+00:00,0.6932,
2023-07-26 08:35:35.014000+00:00,,1.0
2023-07-26 08:35:36.870000+00:00,0.6937,
2023-07-26 08:35:45.014000+00:00,,1.0
2023-07-26 08:35:46.870000+00:00,0.6925,
2023-07-26 08:35:55.014000+00:00,,1.0
2023-07-26 08:35:56.870000+00:00,0.6945,
2023-07-26 08:36:05.014000+00:00,,1.0
2023-07-26 08:36:06.870000+00:00,0.6937,
2023-07-26 08:36:15.014000+00:00,,1.0
2023-07-26 08:36:16.870000+00:00,0.6985,
2023-07-26 08:36:25.014000+00:00,,1.0
2023-07-26 08:36:26.870000+00:00,0.6962,
2023-07-26 08:36:35.014000+00:00,,1.0
2023-07-26 08:36:36.870000+00:00,0.6946,
2023-07-26 08:36:45.014000+00:00,,1.0
2023-07-26 08:36:46.870000+00:00,0.6945,
2023-07-26 08:36:55.014000+00:00,,1.0
2023-07-26 08:36:56.870000+00:00,0.701,
2023-07-26 08:37:05.014000+00:00,,1.0
2023-07-26 08:37:06.870000+00:00,0.6944,
2023-07-26 08:37:15.014000+00:00,,0.9995
2023-07-26 08:37:16.870000+00:00,0.689,
2023-07-26 08:37:25.014000+00:00,,1.0
2023-07-26 08:37:26.870000+00:00,0.691,
2023-07-26 08:37:35.014000+00:00,,1.0
2023-07-26 08:37:36.870000+00:00,0.6929,
