@timestamp,memory,cpu
2023-08-17 11:45:33.328000+00:00,0.5905,
2023-08-17 11:45:36.989000+00:00,,0.125
2023-08-17 11:45:43.328000+00:00,0.592,
2023-08-17 11:45:46.989000+00:00,,0.0728
2023-08-17 11:45:53.328000+00:00,0.592,
2023-08-17 11:45:56.989000+00:00,,0.034
2023-08-17 11:46:03.328000+00:00,0.5925,
2023-08-17 11:46:06.989000+00:00,,0.0653
2023-08-17 11:46:13.328000+00:00,0.5932,
2023-08-17 11:46:16.989000+00:00,,0.1666
2023-08-17 11:46:23.328000+00:00,0.5949,
2023-08-17 11:46:26.989000+00:00,,0.1012
2023-08-17 11:46:33.328000+00:00,0.5961,
2023-08-17 11:46:36.989000+00:00,,0.0956
2023-08-17 11:46:43.328000+00:00,0.5975,
2023-08-17 11:46:46.989000+00:00,,0.0807
2023-08-17 11:46:53.328000+00:00,0.5975,
2023-08-17 11:46:56.989000+00:00,,0.0952
2023-08-17 11:47:03.328000+00:00,0.5986,
2023-08-17 11:47:06.989000+00:00,,0.0747
2023-08-17 11:47:13.328000+00:00,0.5999,
2023-08-17 11:47:16.989000+00:00,,0.0879
2023-08-17 11:47:23.328000+00:00,0.5998,
2023-08-17 11:47:26.989000+00:00,,0.0337
2023-08-17 11:47:33.328000+00:00,0.6008,
2023-08-17 11:47:36.989000+00:00,,0.1539
2023-08-17 11:47:43.328000+00:00,0.6022,
2023-08-17 11:47:46.989000+00:00,,0.0607
2023-08-17 11:47:53.328000+00:00,0.6024,
2023-08-17 11:47:56.989000+00:00,,0.0915
2023-08-17 11:48:03.328000+00:00,0.6031,
2023-08-17 11:48:06.989000+00:00,,0.1127
2023-08-17 11:48:13.328000+00:00,0.6042,
2023-08-17 11:48:16.989000+00:00,,0.0389
2023-08-17 11:48:23.328000+00:00,0.6045,
2023-08-17 11:48:26.989000+00:00,,0.0311
2023-08-17 11:48:33.328000+00:00,0.6047,
2023-08-17 11:48:36.989000+00:00,,0.0223
2023-08-17 11:48:43.328000+00:00,0.605,
2023-08-17 11:48:46.989000+00:00,,0.0444
2023-08-17 11:48:53.328000+00:00,0.6053,
2023-08-17 11:48:56.989000+00:00,,0.0738
2023-08-17 11:49:03.328000+00:00,0.6057,
2023-08-17 11:49:06.989000+00:00,,0.0307
2023-08-17 11:49:13.328000+00:00,0.6057,
2023-08-17 11:49:16.989000+00:00,,0.0293
2023-08-17 11:49:23.328000+00:00,0.6058,
2023-08-17 11:49:26.989000+00:00,,0.0327
2023-08-17 11:49:33.328000+00:00,0.6058,
2023-08-17 11:49:36.989000+00:00,,0.0387
2023-08-17 11:49:43.328000+00:00,0.6061,
2023-08-17 11:49:46.989000+00:00,,0.0647
2023-08-17 11:49:53.328000+00:00,0.6062,
2023-08-17 11:49:56.989000+00:00,,0.0158
2023-08-17 11:50:03.328000+00:00,0.6063,
2023-08-17 11:50:06.989000+00:00,,0.0319
2023-08-17 11:50:13.328000+00:00,0.6061,
