@timestamp,cpu,memory
2023-08-17 11:45:32.595000+00:00,0.9975,
2023-08-17 11:45:33.693000+00:00,,0.7091
2023-08-17 11:45:42.595000+00:00,0.9795,
2023-08-17 11:45:43.693000+00:00,,0.7097
2023-08-17 11:45:52.596000+00:00,0.995,
2023-08-17 11:45:53.694000+00:00,,0.7102
2023-08-17 11:46:02.595000+00:00,0.9995,
2023-08-17 11:46:03.693000+00:00,,0.7102
2023-08-17 11:46:12.595000+00:00,0.9806,
2023-08-17 11:46:13.693000+00:00,,0.7118
2023-08-17 11:46:22.595000+00:00,0.9875,
2023-08-17 11:46:23.693000+00:00,,0.7121
2023-08-17 11:46:32.595000+00:00,0.993,
2023-08-17 11:46:33.693000+00:00,,0.7126
2023-08-17 11:46:42.596000+00:00,0.995,
2023-08-17 11:46:43.696000+00:00,,0.7147
2023-08-17 11:46:52.597000+00:00,0.9975,
2023-08-17 11:46:53.693000+00:00,,0.7139
2023-08-17 11:47:02.595000+00:00,0.9975,
2023-08-17 11:47:03.693000+00:00,,0.7143
2023-08-17 11:47:12.595000+00:00,0.994,
2023-08-17 11:47:13.693000+00:00,,0.7156
2023-08-17 11:47:22.596000+00:00,0.9995,
2023-08-17 11:47:23.693000+00:00,,0.7207
2023-08-17 11:47:32.595000+00:00,0.996,
2023-08-17 11:47:33.693000+00:00,,0.7208
2023-08-17 11:47:42.595000+00:00,0.997,
2023-08-17 11:47:43.693000+00:00,,0.7207
2023-08-17 11:47:52.597000+00:00,0.9985,
2023-08-17 11:47:53.696000+00:00,,0.7235
2023-08-17 11:48:02.595000+00:00,0.998,
2023-08-17 11:48:03.693000+00:00,,0.722
2023-08-17 11:48:12.596000+00:00,0.996,
2023-08-17 11:48:13.693000+00:00,,0.7261
2023-08-17 11:48:22.595000+00:00,0.997,
2023-08-17 11:48:23.693000+00:00,,0.728
2023-08-17 11:48:32.595000+00:00,0.999,
2023-08-17 11:48:33.693000+00:00,,0.7312
2023-08-17 11:48:42.597000+00:00,0.9975,
2023-08-17 11:48:43.693000+00:00,,0.7329
2023-08-17 11:48:52.595000+00:00,1.0,
2023-08-17 11:48:53.693000+00:00,,0.7325
2023-08-17 11:49:02.595000+00:00,0.9975,
2023-08-17 11:49:03.693000+00:00,,0.7355
2023-08-17 11:49:12.595000+00:00,0.997,
2023-08-17 11:49:13.693000+00:00,,0.7391
2023-08-17 11:49:22.596000+00:00,0.9965,
2023-08-17 11:49:23.693000+00:00,,0.7353
2023-08-17 11:49:32.595000+00:00,0.998,
2023-08-17 11:49:33.693000+00:00,,0.7345
2023-08-17 11:49:42.596000+00:00,0.9975,
2023-08-17 11:49:43.693000+00:00,,0.7341
2023-08-17 11:49:52.595000+00:00,0.999,
2023-08-17 11:49:53.693000+00:00,,0.7353
2023-08-17 11:50:02.595000+00:00,0.998,
2023-08-17 11:50:03.693000+00:00,,0.7343
2023-08-17 11:50:12.596000+00:00,0.999,
2023-08-17 11:50:13.693000+00:00,,0.7382
2023-08-17 11:50:22.596000+00:00,0.999,
2023-08-17 11:50:23.693000+00:00,,0.7377
2023-08-17 11:50:32.595000+00:00,0.9995,
2023-08-17 11:50:33.693000+00:00,,0.7446
2023-08-17 11:50:42.596000+00:00,0.998,
2023-08-17 11:50:43.693000+00:00,,0.748
2023-08-17 11:50:52.595000+00:00,0.996,
2023-08-17 11:50:53.693000+00:00,,0.7468
2023-08-17 11:51:02.596000+00:00,0.998,
2023-08-17 11:51:03.693000+00:00,,0.7514
2023-08-17 11:51:12.595000+00:00,0.998,
2023-08-17 11:51:13.693000+00:00,,0.7474
2023-08-17 11:51:22.595000+00:00,0.9995,
2023-08-17 11:51:23.693000+00:00,,0.746
2023-08-17 11:51:32.595000+00:00,0.999,
2023-08-17 11:51:33.693000+00:00,,0.7466
2023-08-17 11:51:42.595000+00:00,0.997,
2023-08-17 11:51:43.693000+00:00,,0.7496
2023-08-17 11:51:52.595000+00:00,0.9985,
2023-08-17 11:51:53.693000+00:00,,0.7535
