@timestamp,memory,cpu
2023-08-17 10:57:53.328000+00:00,0.2902,
2023-08-17 10:57:56.989000+00:00,,0.0582
2023-08-17 10:58:03.328000+00:00,0.2905,
2023-08-17 10:58:06.989000+00:00,,0.0464
2023-08-17 10:58:13.328000+00:00,0.291,
2023-08-17 10:58:16.989000+00:00,,0.0326
2023-08-17 10:58:23.328000+00:00,0.2912,
2023-08-17 10:58:26.989000+00:00,,0.0283
2023-08-17 10:58:33.328000+00:00,0.2913,
2023-08-17 10:58:36.989000+00:00,,0.0045
2023-08-17 10:58:43.328000+00:00,0.2915,
2023-08-17 10:58:46.989000+00:00,,0.0243
2023-08-17 10:58:53.328000+00:00,0.2917,
2023-08-17 10:58:56.989000+00:00,,0.0334
2023-08-17 10:59:03.328000+00:00,0.2921,
2023-08-17 10:59:06.989000+00:00,,0.0418
2023-08-17 10:59:13.328000+00:00,0.2923,
2023-08-17 10:59:16.989000+00:00,,0.0602
2023-08-17 10:59:23.328000+00:00,0.2925,
2023-08-17 10:59:26.989000+00:00,,0.05
2023-08-17 10:59:33.328000+00:00,0.293,
2023-08-17 10:59:36.989000+00:00,,0.0503
2023-08-17 10:59:43.328000+00:00,0.2935,
2023-08-17 10:59:46.989000+00:00,,0.0498
2023-08-17 10:59:53.328000+00:00,0.2935,
2023-08-17 10:59:56.989000+00:00,,0.01
2023-08-17 11:00:03.328000+00:00,0.2937,
2023-08-17 11:00:06.989000+00:00,,0.0186
2023-08-17 11:00:13.328000+00:00,0.2938,
2023-08-17 11:00:16.989000+00:00,,0.0291
2023-08-17 11:00:23.328000+00:00,0.2941,
2023-08-17 11:00:26.989000+00:00,,0.0493
2023-08-17 11:00:33.328000+00:00,0.2945,
2023-08-17 11:00:36.989000+00:00,,0.0246
2023-08-17 11:00:43.328000+00:00,0.2946,
2023-08-17 11:00:46.989000+00:00,,0.0511
2023-08-17 11:00:53.328000+00:00,0.2953,
2023-08-17 11:00:56.989000+00:00,,0.0427
2023-08-17 11:01:03.328000+00:00,0.296,
2023-08-17 11:01:06.989000+00:00,,0.0529
2023-08-17 11:01:13.328000+00:00,0.2963,
2023-08-17 11:01:16.989000+00:00,,0.0309
2023-08-17 11:01:23.328000+00:00,0.2963,
2023-08-17 11:01:26.989000+00:00,,0.0067
2023-08-17 11:01:33.328000+00:00,0.2965,
2023-08-17 11:01:36.989000+00:00,,0.0115
2023-08-17 11:01:43.328000+00:00,0.2966,
2023-08-17 11:01:46.989000+00:00,,0.0281
2023-08-17 11:01:53.328000+00:00,0.2967,
2023-08-17 11:01:56.989000+00:00,,0.0299
2023-08-17 11:02:03.328000+00:00,0.297,
2023-08-17 11:02:06.989000+00:00,,0.0427
2023-08-17 11:02:13.328000+00:00,0.2973,
2023-08-17 11:02:16.989000+00:00,,0.0236
2023-08-17 11:02:23.328000+00:00,0.2974,
2023-08-17 11:02:26.989000+00:00,,0.0386
2023-08-17 11:02:33.328000+00:00,0.2975,
2023-08-17 11:02:36.989000+00:00,,0.0252
2023-08-17 11:02:43.328000+00:00,0.2976,
2023-08-17 11:02:46.989000+00:00,,0.0158
2023-08-17 11:02:53.328000+00:00,0.2981,
2023-08-17 11:02:56.989000+00:00,,0.0255
2023-08-17 11:03:03.328000+00:00,0.2984,
2023-08-17 11:03:06.989000+00:00,,0.0423
2023-08-17 11:03:13.328000+00:00,0.2986,
2023-08-17 11:03:16.989000+00:00,,0.0208
2023-08-17 11:03:23.328000+00:00,0.2986,
2023-08-17 11:03:26.989000+00:00,,0.0461
2023-08-17 11:03:33.328000+00:00,0.2988,
2023-08-17 11:03:36.989000+00:00,,0.01
2023-08-17 11:03:43.328000+00:00,0.2989,
2023-08-17 11:03:46.989000+00:00,,0.0508
2023-08-17 11:03:53.328000+00:00,0.3013,
2023-08-17 11:03:56.989000+00:00,,0.0384
2023-08-17 11:04:03.328000+00:00,0.3015,
2023-08-17 11:04:06.989000+00:00,,0.0173
2023-08-17 11:04:13.328000+00:00,0.3017,
2023-08-17 11:04:16.989000+00:00,,0.034
2023-08-17 11:04:23.328000+00:00,0.3019,
2023-08-17 11:04:26.989000+00:00,,0.0163
2023-08-17 11:04:33.328000+00:00,0.302,
2023-08-17 11:04:36.989000+00:00,,0.0399
2023-08-17 11:04:43.328000+00:00,0.3023,
2023-08-17 11:04:46.989000+00:00,,0.0283
2023-08-17 11:04:53.328000+00:00,0.3025,
2023-08-17 11:04:56.989000+00:00,,0.0135
2023-08-17 11:05:03.328000+00:00,0.3027,
2023-08-17 11:05:06.989000+00:00,,0.0263
2023-08-17 11:05:13.328000+00:00,0.3029,
2023-08-17 11:05:16.989000+00:00,,0.0277
2023-08-17 11:05:23.328000+00:00,0.3031,
2023-08-17 11:05:26.989000+00:00,,0.0236
2023-08-17 11:05:33.328000+00:00,0.3031,
2023-08-17 11:05:36.989000+00:00,,0.0281
2023-08-17 11:05:43.328000+00:00,0.3029,
2023-08-17 11:05:46.989000+00:00,,0.0125
2023-08-17 11:05:53.328000+00:00,0.3032,
2023-08-17 11:05:56.989000+00:00,,0.048
2023-08-17 11:06:03.328000+00:00,0.3046,
2023-08-17 11:06:06.989000+00:00,,0.0598
2023-08-17 11:06:13.328000+00:00,0.3049,
2023-08-17 11:06:16.989000+00:00,,0.045
2023-08-17 11:06:23.328000+00:00,0.3054,
2023-08-17 11:06:26.989000+00:00,,0.0451
2023-08-17 11:06:33.328000+00:00,0.3057,
2023-08-17 11:06:36.989000+00:00,,0.0239
2023-08-17 11:06:43.328000+00:00,0.306,
2023-08-17 11:06:46.989000+00:00,,0.0402
2023-08-17 11:06:53.328000+00:00,0.3064,
2023-08-17 11:06:56.989000+00:00,,0.0239
2023-08-17 11:07:03.328000+00:00,0.3064,
2023-08-17 11:07:06.989000+00:00,,0.0163
2023-08-17 11:07:13.328000+00:00,0.307,
2023-08-17 11:07:16.989000+00:00,,0.0463
2023-08-17 11:07:23.328000+00:00,0.3072,
2023-08-17 11:07:26.989000+00:00,,0.0485
2023-08-17 11:07:33.328000+00:00,0.3074,
2023-08-17 11:07:36.989000+00:00,,0.0317
2023-08-17 11:07:43.328000+00:00,0.3077,
2023-08-17 11:07:46.989000+00:00,,0.055
2023-08-17 11:07:53.328000+00:00,0.3084,
2023-08-17 11:07:56.989000+00:00,,0.0679
2023-08-17 11:08:03.328000+00:00,0.3086,
2023-08-17 11:08:06.989000+00:00,,0.035
2023-08-17 11:08:13.328000+00:00,0.3094,
2023-08-17 11:08:16.989000+00:00,,0.0645
2023-08-17 11:08:23.328000+00:00,0.3097,
2023-08-17 11:08:26.989000+00:00,,0.0384
2023-08-17 11:08:33.328000+00:00,0.3098,
2023-08-17 11:08:36.989000+00:00,,0.0625
2023-08-17 11:08:43.328000+00:00,0.3107,
2023-08-17 11:08:46.989000+00:00,,0.0475
2023-08-17 11:08:53.328000+00:00,0.3111,
2023-08-17 11:08:56.989000+00:00,,0.0619
2023-08-17 11:09:03.328000+00:00,0.3124,
2023-08-17 11:09:06.989000+00:00,,0.0695
2023-08-17 11:09:13.328000+00:00,0.3128,
2023-08-17 11:09:16.989000+00:00,,0.0613
2023-08-17 11:09:23.328000+00:00,0.3132,
2023-08-17 11:09:26.989000+00:00,,0.0491
2023-08-17 11:09:33.328000+00:00,0.3135,
2023-08-17 11:09:36.989000+00:00,,0.0491
2023-08-17 11:09:43.329000+00:00,0.3138,
2023-08-17 11:09:46.989000+00:00,,0.0468
2023-08-17 11:09:53.328000+00:00,0.3144,
2023-08-17 11:09:56.989000+00:00,,0.0293
2023-08-17 11:10:03.328000+00:00,0.3147,
2023-08-17 11:10:06.989000+00:00,,0.0571
2023-08-17 11:10:13.328000+00:00,0.3156,
2023-08-17 11:10:16.989000+00:00,,0.0796
2023-08-17 11:10:23.328000+00:00,0.3158,
2023-08-17 11:10:26.989000+00:00,,0.0572
2023-08-17 11:10:33.328000+00:00,0.3155,
2023-08-17 11:10:36.989000+00:00,,0.067
2023-08-17 11:10:43.329000+00:00,0.3161,
2023-08-17 11:10:46.989000+00:00,,0.0623
2023-08-17 11:10:53.328000+00:00,0.3164,
2023-08-17 11:10:56.989000+00:00,,0.0571
2023-08-17 11:11:03.328000+00:00,0.3173,
2023-08-17 11:11:06.989000+00:00,,0.0809
2023-08-17 11:11:13.328000+00:00,0.3177,
2023-08-17 11:11:16.989000+00:00,,0.0458
2023-08-17 11:11:23.328000+00:00,0.3173,
2023-08-17 11:11:26.989000+00:00,,0.0594
2023-08-17 11:11:33.328000+00:00,0.3179,
2023-08-17 11:11:36.989000+00:00,,0.0742
2023-08-17 11:11:43.328000+00:00,0.3192,
2023-08-17 11:11:46.989000+00:00,,0.0604
2023-08-17 11:11:53.328000+00:00,0.32,
2023-08-17 11:11:56.989000+00:00,,0.1065
2023-08-17 11:12:03.328000+00:00,0.3197,
2023-08-17 11:12:06.989000+00:00,,0.0608
2023-08-17 11:12:13.328000+00:00,0.321,
2023-08-17 11:12:16.989000+00:00,,0.0797
2023-08-17 11:12:23.328000+00:00,0.3207,
2023-08-17 11:12:26.989000+00:00,,0.0733
2023-08-17 11:12:33.328000+00:00,0.3211,
2023-08-17 11:12:36.989000+00:00,,0.0564
2023-08-17 11:12:43.328000+00:00,0.3225,
2023-08-17 11:12:46.989000+00:00,,0.0791
2023-08-17 11:12:53.328000+00:00,0.3223,
2023-08-17 11:12:56.989000+00:00,,0.0631
2023-08-17 11:13:03.328000+00:00,0.3228,
2023-08-17 11:13:06.989000+00:00,,0.0679
2023-08-17 11:13:13.328000+00:00,0.3232,
2023-08-17 11:13:16.989000+00:00,,0.0622
2023-08-17 11:13:23.328000+00:00,0.3256,
2023-08-17 11:13:26.989000+00:00,,0.0615
2023-08-17 11:13:33.328000+00:00,0.3242,
2023-08-17 11:13:36.989000+00:00,,0.0702
2023-08-17 11:13:43.328000+00:00,0.3254,
2023-08-17 11:13:46.989000+00:00,,0.0519
2023-08-17 11:13:53.328000+00:00,0.3259,
2023-08-17 11:13:56.989000+00:00,,0.0459
2023-08-17 11:14:03.328000+00:00,0.3261,
2023-08-17 11:14:06.989000+00:00,,0.0828
2023-08-17 11:14:13.328000+00:00,0.3279,
2023-08-17 11:14:16.989000+00:00,,0.1028
2023-08-17 11:14:23.328000+00:00,0.327,
2023-08-17 11:14:26.989000+00:00,,0.1103
2023-08-17 11:14:33.328000+00:00,0.3286,
2023-08-17 11:14:36.989000+00:00,,0.0937
2023-08-17 11:14:43.328000+00:00,0.3289,
