@timestamp,cpu,memory
2023-08-17 10:57:52.595000+00:00,0.1281,
2023-08-17 10:57:53.693000+00:00,,0.5277
2023-08-17 10:58:02.595000+00:00,0.2163,
2023-08-17 10:58:03.693000+00:00,,0.5293
2023-08-17 10:58:12.595000+00:00,0.2389,
2023-08-17 10:58:13.693000+00:00,,0.5312
2023-08-17 10:58:22.596000+00:00,0.263,
2023-08-17 10:58:23.693000+00:00,,0.5318
2023-08-17 10:58:32.595000+00:00,0.2566,
2023-08-17 10:58:33.693000+00:00,,0.5326
2023-08-17 10:58:42.596000+00:00,0.2455,
2023-08-17 10:58:43.694000+00:00,,0.5328
2023-08-17 10:58:52.595000+00:00,0.3029,
2023-08-17 10:58:53.693000+00:00,,0.5342
2023-08-17 10:59:02.596000+00:00,0.3093,
2023-08-17 10:59:03.693000+00:00,,0.5348
2023-08-17 10:59:12.596000+00:00,0.3554,
2023-08-17 10:59:13.693000+00:00,,0.5358
2023-08-17 10:59:22.600000+00:00,0.4201,
2023-08-17 10:59:23.693000+00:00,,0.5375
2023-08-17 10:59:32.595000+00:00,0.4139,
2023-08-17 10:59:33.694000+00:00,,0.5385
2023-08-17 10:59:42.595000+00:00,0.4414,
2023-08-17 10:59:43.693000+00:00,,0.5409
2023-08-17 10:59:52.595000+00:00,0.438,
2023-08-17 10:59:53.693000+00:00,,0.541
2023-08-17 11:00:02.602000+00:00,0.541,
2023-08-17 11:00:03.693000+00:00,,0.5414
2023-08-17 11:00:12.596000+00:00,0.4539,
2023-08-17 11:00:13.693000+00:00,,0.5415
2023-08-17 11:00:22.597000+00:00,0.4721,
2023-08-17 11:00:23.693000+00:00,,0.5426
2023-08-17 11:00:32.596000+00:00,0.5099,
2023-08-17 11:00:33.694000+00:00,,0.5445
2023-08-17 11:00:42.595000+00:00,0.508,
2023-08-17 11:00:43.693000+00:00,,0.5441
2023-08-17 11:00:52.596000+00:00,0.5692,
2023-08-17 11:00:53.693000+00:00,,0.5457
2023-08-17 11:01:02.596000+00:00,0.588,
2023-08-17 11:01:03.693000+00:00,,0.5463
2023-08-17 11:01:12.595000+00:00,0.627,
2023-08-17 11:01:13.693000+00:00,,0.5484
2023-08-17 11:01:22.596000+00:00,0.5741,
2023-08-17 11:01:23.695000+00:00,,0.5489
2023-08-17 11:01:32.600000+00:00,0.5585,
2023-08-17 11:01:33.693000+00:00,,0.5489
2023-08-17 11:01:42.595000+00:00,0.6319,
2023-08-17 11:01:43.695000+00:00,,0.5507
2023-08-17 11:01:52.595000+00:00,0.6196,
2023-08-17 11:01:53.693000+00:00,,0.5504
2023-08-17 11:02:02.595000+00:00,0.6893,
2023-08-17 11:02:03.693000+00:00,,0.5523
2023-08-17 11:02:12.595000+00:00,0.674,
2023-08-17 11:02:13.694000+00:00,,0.5532
2023-08-17 11:02:22.595000+00:00,0.6863,
2023-08-17 11:02:23.693000+00:00,,0.5545
2023-08-17 11:02:32.596000+00:00,0.6665,
2023-08-17 11:02:33.693000+00:00,,0.5563
2023-08-17 11:02:42.595000+00:00,0.7055,
2023-08-17 11:02:43.693000+00:00,,0.5558
2023-08-17 11:02:52.600000+00:00,0.7325,
2023-08-17 11:02:53.693000+00:00,,0.5569
2023-08-17 11:03:02.595000+00:00,0.726,
2023-08-17 11:03:03.693000+00:00,,0.5568
2023-08-17 11:03:12.595000+00:00,0.8085,
2023-08-17 11:03:13.693000+00:00,,0.5591
2023-08-17 11:03:22.595000+00:00,0.7444,
2023-08-17 11:03:23.693000+00:00,,0.5592
2023-08-17 11:03:32.596000+00:00,0.7995,
2023-08-17 11:03:33.693000+00:00,,0.5606
2023-08-17 11:03:42.595000+00:00,0.8347,
2023-08-17 11:03:43.693000+00:00,,0.562
2023-08-17 11:03:52.595000+00:00,0.8421,
2023-08-17 11:03:53.693000+00:00,,0.5647
2023-08-17 11:04:02.597000+00:00,0.8608,
2023-08-17 11:04:03.693000+00:00,,0.5641
2023-08-17 11:04:12.595000+00:00,0.7998,
2023-08-17 11:04:13.693000+00:00,,0.5654
2023-08-17 11:04:22.596000+00:00,0.8134,
2023-08-17 11:04:23.693000+00:00,,0.5654
2023-08-17 11:04:32.595000+00:00,0.8462,
2023-08-17 11:04:33.693000+00:00,,0.5662
2023-08-17 11:04:42.597000+00:00,0.8986,
2023-08-17 11:04:43.693000+00:00,,0.5706
2023-08-17 11:04:52.595000+00:00,0.9462,
2023-08-17 11:04:53.693000+00:00,,0.5692
2023-08-17 11:05:02.596000+00:00,0.9109,
2023-08-17 11:05:03.693000+00:00,,0.5705
2023-08-17 11:05:12.595000+00:00,0.9296,
2023-08-17 11:05:13.693000+00:00,,0.5708
2023-08-17 11:05:22.595000+00:00,0.9255,
2023-08-17 11:05:23.693000+00:00,,0.5729
2023-08-17 11:05:32.596000+00:00,0.9141,
2023-08-17 11:05:33.693000+00:00,,0.574
2023-08-17 11:05:42.595000+00:00,0.9885,
2023-08-17 11:05:43.693000+00:00,,0.5745
2023-08-17 11:05:52.596000+00:00,0.9438,
2023-08-17 11:05:53.693000+00:00,,0.5756
2023-08-17 11:06:02.595000+00:00,0.8861,
2023-08-17 11:06:03.693000+00:00,,0.5753
2023-08-17 11:06:12.595000+00:00,0.7359,
