@timestamp,memory,cpu
2023-08-17 12:14:31.083000+00:00,0.4762,
2023-08-17 12:14:31.093000+00:00,0.28505,
2023-08-17 12:14:31.125000+00:00,,0.003
2023-08-17 12:14:31.126000+00:00,0.2279,
2023-08-17 12:14:31.152000+00:00,,0.0025
2023-08-17 12:14:31.158000+00:00,,0.2415
2023-08-17 12:14:31.165000+00:00,,0.001
2023-08-17 12:14:31.206000+00:00,,0.001
2023-08-17 12:14:31.213000+00:00,,0.36
2023-08-17 12:14:31.218000+00:00,,0.003
2023-08-17 12:14:31.224000+00:00,,0.0015
2023-08-17 12:14:31.257000+00:00,0.2268,
2023-08-17 12:14:31.277000+00:00,0.384,
2023-08-17 12:14:31.283000+00:00,,0.001
2023-08-17 12:14:31.301000+00:00,0.2283,
2023-08-17 12:14:31.302000+00:00,,0.001
2023-08-17 12:14:31.308000+00:00,0.2265,
2023-08-17 12:14:31.310000+00:00,,0.249
2023-08-17 12:14:31.312000+00:00,0.228,
2023-08-17 12:14:31.333000+00:00,,0.0
2023-08-17 12:14:31.345000+00:00,,0.0015
2023-08-17 12:14:31.357000+00:00,,0.2421
2023-08-17 12:14:31.358000+00:00,0.2274,
2023-08-17 12:14:31.364000+00:00,,0.001
2023-08-17 12:14:31.390000+00:00,,0.0971
2023-08-17 12:14:31.395000+00:00,0.2303,
2023-08-17 12:14:31.405000+00:00,0.3013,
2023-08-17 12:14:31.410000+00:00,,0.0035
2023-08-17 12:14:31.419000+00:00,0.22815,
2023-08-17 12:14:31.439000+00:00,0.2263,
2023-08-17 12:14:31.444000+00:00,0.2252,
2023-08-17 12:14:31.470000+00:00,,0.0
2023-08-17 12:14:31.488000+00:00,0.227,
2023-08-17 12:14:31.512000+00:00,0.2251,
2023-08-17 12:14:31.521000+00:00,,0.0396
2023-08-17 12:14:31.530000+00:00,0.2263,
2023-08-17 12:14:31.542000+00:00,,0.0035
2023-08-17 12:14:31.545000+00:00,0.2282,
2023-08-17 12:14:31.554000+00:00,0.3841,0.002
2023-08-17 12:14:31.558000+00:00,0.2285,
2023-08-17 12:14:31.568000+00:00,0.2275,
2023-08-17 12:14:31.591000+00:00,,0.0015
2023-08-17 12:14:31.594000+00:00,0.2253,
2023-08-17 12:14:31.596000+00:00,,0.0025
2023-08-17 12:14:31.601000+00:00,,0.0005
2023-08-17 12:14:31.610000+00:00,0.228,
2023-08-17 12:14:31.632000+00:00,0.2285,
2023-08-17 12:14:31.635000+00:00,0.2262,
2023-08-17 12:14:31.636000+00:00,0.2274,
2023-08-17 12:14:31.647000+00:00,0.2273,
2023-08-17 12:14:31.669000+00:00,0.2255,
2023-08-17 12:14:31.674000+00:00,0.2248,
2023-08-17 12:14:31.678000+00:00,0.3807,0.0015
2023-08-17 12:14:31.679000+00:00,0.3758,
2023-08-17 12:14:31.685000+00:00,0.2892,
2023-08-17 12:14:31.709000+00:00,,0.002
2023-08-17 12:14:31.710000+00:00,0.2273,
2023-08-17 12:14:31.711000+00:00,,0.0015
2023-08-17 12:14:31.730000+00:00,,0.0022500000000000003
2023-08-17 12:14:31.731000+00:00,0.2597,
2023-08-17 12:14:31.733000+00:00,,0.0035
2023-08-17 12:14:31.737000+00:00,,0.002
2023-08-17 12:14:31.770000+00:00,0.2286,
2023-08-17 12:14:31.774000+00:00,0.2273,
2023-08-17 12:14:31.804000+00:00,0.2244,
2023-08-17 12:14:31.809000+00:00,0.309,
2023-08-17 12:14:31.814000+00:00,0.2256,
2023-08-17 12:14:31.828000+00:00,0.2254,
2023-08-17 12:14:31.872000+00:00,0.2274,
2023-08-17 12:14:31.874000+00:00,,0.0015
2023-08-17 12:14:31.884000+00:00,,0.003
2023-08-17 12:14:31.897000+00:00,0.3601,
2023-08-17 12:14:31.914000+00:00,,0.002
2023-08-17 12:14:31.959000+00:00,0.2297,
2023-08-17 12:14:31.961000+00:00,,0.002
2023-08-17 12:14:31.978000+00:00,,0.0025
2023-08-17 12:14:31.984000+00:00,,0.001
2023-08-17 12:14:31.988000+00:00,0.2279,
2023-08-17 12:14:32.001000+00:00,,0.0025
2023-08-17 12:14:32.010000+00:00,0.2284,
