@timestamp,memory,cpu
2023-08-17 12:14:33.328000+00:00,0.5906,
2023-08-17 12:14:36.989000+00:00,,0.1402
2023-08-17 12:14:43.328000+00:00,0.5911,
2023-08-17 12:14:46.989000+00:00,,0.0196
2023-08-17 12:14:53.328000+00:00,0.5911,
2023-08-17 12:14:56.989000+00:00,,0.0841
2023-08-17 12:15:03.328000+00:00,0.5922,
2023-08-17 12:15:06.989000+00:00,,0.0692
2023-08-17 12:15:13.328000+00:00,0.5922,
2023-08-17 12:15:16.989000+00:00,,0.0131
2023-08-17 12:15:23.328000+00:00,0.5922,
2023-08-17 12:15:26.989000+00:00,,0.0285
2023-08-17 12:15:33.328000+00:00,0.5936,
2023-08-17 12:15:36.989000+00:00,,0.1457
2023-08-17 12:15:43.328000+00:00,0.594,
2023-08-17 12:15:46.989000+00:00,,0.0125
2023-08-17 12:15:53.328000+00:00,0.5948,
2023-08-17 12:15:56.989000+00:00,,0.179
2023-08-17 12:16:03.328000+00:00,0.5969,
2023-08-17 12:16:06.989000+00:00,,0.0588
2023-08-17 12:16:13.328000+00:00,0.5975,
2023-08-17 12:16:16.989000+00:00,,0.1032
2023-08-17 12:16:23.328000+00:00,0.5988,
2023-08-17 12:16:26.989000+00:00,,0.0708
2023-08-17 12:16:33.328000+00:00,0.5989,
2023-08-17 12:16:36.989000+00:00,,0.0791
2023-08-17 12:16:43.328000+00:00,0.6011,
2023-08-17 12:16:46.989000+00:00,,0.1214
2023-08-17 12:16:53.328000+00:00,0.6015,
2023-08-17 12:16:56.989000+00:00,,0.0596
2023-08-17 12:17:03.328000+00:00,0.603,
2023-08-17 12:17:06.989000+00:00,,0.1572
2023-08-17 12:17:13.328000+00:00,0.6051,
2023-08-17 12:17:16.989000+00:00,,0.0674
2023-08-17 12:17:23.328000+00:00,0.6055,
2023-08-17 12:17:26.989000+00:00,,0.0908
2023-08-17 12:17:33.328000+00:00,0.6069,
2023-08-17 12:17:36.989000+00:00,,0.1143
2023-08-17 12:17:43.328000+00:00,0.6072,
2023-08-17 12:17:46.989000+00:00,,0.0544
2023-08-17 12:17:53.328000+00:00,0.6086,
2023-08-17 12:17:56.989000+00:00,,0.1639
2023-08-17 12:18:03.328000+00:00,0.6104,
2023-08-17 12:18:06.989000+00:00,,0.0954
2023-08-17 12:18:13.328000+00:00,0.6108,
2023-08-17 12:18:16.989000+00:00,,0.1216
2023-08-17 12:18:23.328000+00:00,0.6131,
2023-08-17 12:18:26.989000+00:00,,0.0942
2023-08-17 12:18:33.328000+00:00,0.6133,
2023-08-17 12:18:36.989000+00:00,,0.0292
2023-08-17 12:18:43.328000+00:00,0.6133,
2023-08-17 12:18:46.989000+00:00,,0.0876
2023-08-17 12:18:53.328000+00:00,0.6146,
2023-08-17 12:18:56.989000+00:00,,0.1148
2023-08-17 12:19:03.328000+00:00,0.6149,
2023-08-17 12:19:06.989000+00:00,,0.0763
2023-08-17 12:19:13.328000+00:00,0.6153,
2023-08-17 12:19:16.989000+00:00,,0.0482
2023-08-17 12:19:23.328000+00:00,0.6154,
2023-08-17 12:19:26.989000+00:00,,0.0709
2023-08-17 12:19:33.328000+00:00,0.6159,
2023-08-17 12:19:36.989000+00:00,,0.0492
2023-08-17 12:19:43.328000+00:00,0.6162,
2023-08-17 12:19:46.989000+00:00,,0.0719
2023-08-17 12:19:53.328000+00:00,0.6173,
2023-08-17 12:19:56.989000+00:00,,0.1103
2023-08-17 12:20:03.328000+00:00,0.6174,
2023-08-17 12:20:06.989000+00:00,,0.0329
