@timestamp,cpu,memory
2023-08-17 12:14:32.725000+00:00,0.3497,
2023-08-17 12:14:40.288000+00:00,,0.5345
2023-08-17 12:14:42.725000+00:00,0.6171,
2023-08-17 12:14:50.288000+00:00,,0.5336
2023-08-17 12:14:52.725000+00:00,0.5031,
2023-08-17 12:15:00.289000+00:00,,0.5408
2023-08-17 12:15:02.725000+00:00,0.7571,
2023-08-17 12:15:10.288000+00:00,,0.5453
2023-08-17 12:15:12.725000+00:00,0.714,
2023-08-17 12:15:20.288000+00:00,,0.5462
2023-08-17 12:15:22.726000+00:00,0.6864,
2023-08-17 12:15:30.288000+00:00,,0.5469
2023-08-17 12:15:32.725000+00:00,0.8294,
2023-08-17 12:15:40.288000+00:00,,0.554
2023-08-17 12:15:42.725000+00:00,0.8474,
2023-08-17 12:15:50.288000+00:00,,0.553
2023-08-17 12:15:52.725000+00:00,0.8542,
2023-08-17 12:16:00.288000+00:00,,0.5603
2023-08-17 12:16:02.725000+00:00,0.917,
2023-08-17 12:16:10.288000+00:00,,0.5626
2023-08-17 12:16:12.725000+00:00,0.9073,
2023-08-17 12:16:20.288000+00:00,,0.5708
2023-08-17 12:16:22.725000+00:00,0.9568,
2023-08-17 12:16:30.288000+00:00,,0.5742
2023-08-17 12:16:32.725000+00:00,0.9633,
2023-08-17 12:16:40.288000+00:00,,0.5769
2023-08-17 12:16:42.725000+00:00,0.993,
2023-08-17 12:16:50.288000+00:00,,0.5793
2023-08-17 12:16:52.725000+00:00,0.9383,
2023-08-17 12:17:00.288000+00:00,,0.5821
2023-08-17 12:17:02.728000+00:00,0.9567,
2023-08-17 12:17:10.288000+00:00,,0.5845
2023-08-17 12:17:12.725000+00:00,0.9706,
2023-08-17 12:17:20.291000+00:00,,0.5873
2023-08-17 12:17:22.725000+00:00,0.9895,
2023-08-17 12:17:30.288000+00:00,,0.5919
2023-08-17 12:17:32.725000+00:00,0.987,
2023-08-17 12:17:40.288000+00:00,,0.5911
2023-08-17 12:17:42.725000+00:00,0.9518,
2023-08-17 12:17:50.288000+00:00,,0.5943
2023-08-17 12:17:52.725000+00:00,0.9935,
2023-08-17 12:18:00.288000+00:00,,0.5969
2023-08-17 12:18:02.725000+00:00,0.9876,
2023-08-17 12:18:10.288000+00:00,,0.5958
2023-08-17 12:18:12.726000+00:00,0.9281,
2023-08-17 12:18:20.288000+00:00,,0.6005
2023-08-17 12:18:22.725000+00:00,0.99,
2023-08-17 12:18:30.288000+00:00,,0.5983
2023-08-17 12:18:32.725000+00:00,0.9704,
2023-08-17 12:18:40.288000+00:00,,0.6037
2023-08-17 12:18:42.725000+00:00,0.995,
2023-08-17 12:18:50.288000+00:00,,0.6088
2023-08-17 12:18:52.725000+00:00,0.991,
2023-08-17 12:19:00.288000+00:00,,0.6088
2023-08-17 12:19:02.725000+00:00,0.9905,
2023-08-17 12:19:10.288000+00:00,,0.6087
2023-08-17 12:19:12.725000+00:00,0.997,
2023-08-17 12:19:20.288000+00:00,,0.6161
2023-08-17 12:19:22.725000+00:00,0.9985,
2023-08-17 12:19:30.288000+00:00,,0.6152
2023-08-17 12:19:32.725000+00:00,0.9965,
2023-08-17 12:19:40.288000+00:00,,0.6177
2023-08-17 12:19:42.725000+00:00,0.997,
2023-08-17 12:19:50.288000+00:00,,0.6163
2023-08-17 12:19:52.725000+00:00,0.9905,
2023-08-17 12:20:00.288000+00:00,,0.6205
2023-08-17 12:20:02.725000+00:00,0.999,
2023-08-17 12:20:10.288000+00:00,,0.6193
