cut_index,vmaf,msssim,psnr,psnrhvs,ssim,vifp,psnrhvsm,pesq,visqol,session,userFrom,userTo,@timestamp
0,0.7856814974000002,0.9839153777777777,31.4279339511111,28.32337645333333,0.9875233333333326,0.7420871733333338,30.850235322222222,0.41137500000000005,0.7299075,LoadTestSession1,User5,User1,2023-08-17 12:14:31.195000+00:00
1,0.8102169986444442,0.9834198911111098,30.421202400000027,27.254974262222223,0.9875141466666673,0.7572207911111118,29.320549377777773,0.536875,0.7551574999999999,LoadTestSession1,User5,User1,2023-08-17 12:14:48.195000+00:00
2,0.8087841139111112,0.9831607600000006,30.33645890444443,27.167154191111113,0.9873314577777776,0.7571333066666668,29.210323499999966,0.5842499999999999,0.7706925,LoadTestSession1,User5,User1,2023-08-17 12:15:05.195000+00:00
3,0.8097061674888896,0.983243642222222,30.361817697777745,27.187784997777776,0.9874236711111098,0.7593090911111111,29.229415491111094,0.6425000000000001,0.7742249999999999,LoadTestSession1,User5,User1,2023-08-17 12:15:22.195000+00:00
4,0.8097972425777781,0.9831451333333333,30.30332568444444,27.126238862222248,0.9873398466666662,0.7586763755555553,29.144617491111113,0.64725,0.7719625000000001,LoadTestSession1,User5,User1,2023-08-17 12:15:39.195000+00:00
5,0.8067497896444442,0.9830285577777774,30.313041948888877,27.15627081555557,0.9871148044444447,0.7500835933333329,29.22151640000001,0.591,0.7511399999999999,LoadTestSession1,User5,User1,2023-08-17 12:15:56.195000+00:00
6,0.8118175179333328,0.9831085044444444,30.324616591111123,27.153630346666663,0.987245793333333,0.7565948533333337,29.19065558666666,0.626125,0.7391475,LoadTestSession1,User5,User1,2023-08-17 12:16:13.195000+00:00
7,0.7995503625111106,0.9826788111111108,30.246373855555603,27.086869928888902,0.9868528733333329,0.7451234288888893,29.20257706666666,0.55725,0.736625,LoadTestSession1,User5,User1,2023-08-17 12:16:30.195000+00:00
8,0.734616160288889,0.9700804333333333,28.772158637777782,25.634427791111094,0.9776320266666667,0.6780541933333334,27.770619513333344,0.49612500000000004,0.69725,LoadTestSession1,User5,User1,2023-08-17 12:16:47.195000+00:00
9,0.8007244849333334,0.982568213333333,30.187724424444447,27.04265279777779,0.9865600999999998,0.7382382311111111,29.142476740000003,0.61375,0.7367575,LoadTestSession1,User5,User1,2023-08-17 12:17:04.195000+00:00
10,0.7981135918222223,0.9837980311111117,31.35040214888888,28.282967577777796,0.9873699311111106,0.7326298222222216,30.87907812222221,0.639875,0.7506600000000001,LoadTestSession1,User5,User1,2023-08-17 12:17:21.195000+00:00
11,0.8104984238000001,0.9862700377777788,32.61282005333332,29.6514831511111,0.9889045822222221,0.7404433311111116,32.72816614888887,0.567875,0.74085,LoadTestSession1,User5,User1,2023-08-17 12:17:38.195000+00:00
12,0.707299702577778,0.9629838088888898,28.868939997777794,25.775485284444446,0.9726673377777783,0.6576314400000003,28.164395453333338,0.3374999999999999,0.6911075,LoadTestSession1,User5,User1,2023-08-17 12:17:55.195000+00:00
13,0.7937582753999998,0.9778224733333326,30.675535068888898,27.581566517777777,0.9833888400000005,0.7275706644444445,29.964479762222222,0.26912500000000006,0.70499,LoadTestSession1,User5,User1,2023-08-17 12:18:12.195000+00:00
14,0.7982504918444442,0.9833000555555558,30.484621328888878,27.369079853333314,0.9869368444444451,0.7338219666666667,29.658019508888877,0.504,0.7067,LoadTestSession1,User5,User1,2023-08-17 12:18:29.195000+00:00
15,0.787337712266667,0.9820934711111114,30.296896140000023,27.205099524444453,0.9858487155555558,0.7164869555555549,29.52884875333335,0.481125,0.7045025,LoadTestSession1,User5,User1,2023-08-17 12:18:46.195000+00:00
16,0.7918614943111103,0.982619895555555,30.22469289777778,27.121645999999988,0.9861533711111111,0.721797411111111,29.367592042222224,0.5367500000000001,0.721825,LoadTestSession1,User5,User1,2023-08-17 12:19:03.195000+00:00
17,0.7921996260666669,0.9825936422222226,30.51186288666668,27.4184691088889,0.9864107088888888,0.7257508533333344,29.782186953333305,0.624625,0.713635,LoadTestSession1,User5,User1,2023-08-17 12:19:20.195000+00:00
