@timestamp,memory,cpu
2023-07-24 12:07:49.601000+00:00,0.2877,
2023-07-24 12:07:53.364000+00:00,,0.3934
2023-07-24 12:07:59.601000+00:00,0.2919,
2023-07-24 12:08:03.364000+00:00,,0.0221
2023-07-24 12:08:09.601000+00:00,0.2921,
2023-07-24 12:08:13.364000+00:00,,0.3233
2023-07-24 12:08:19.601000+00:00,0.2935,
2023-07-24 12:08:23.364000+00:00,,0.0336
2023-07-24 12:08:29.601000+00:00,0.2939,
2023-07-24 12:08:33.364000+00:00,,0.1789
2023-07-24 12:08:39.601000+00:00,0.2973,
2023-07-24 12:08:43.364000+00:00,,0.1322
2023-07-24 12:08:49.601000+00:00,0.2974,
2023-07-24 12:08:53.364000+00:00,,0.1197
2023-07-24 12:08:59.601000+00:00,0.301,
2023-07-24 12:09:03.364000+00:00,,0.2042
2023-07-24 12:09:09.601000+00:00,0.3014,
2023-07-24 12:09:13.364000+00:00,,0.1148
2023-07-24 12:09:19.601000+00:00,0.3043,
2023-07-24 12:09:23.364000+00:00,,0.1446
2023-07-24 12:09:29.601000+00:00,0.3051,
2023-07-24 12:09:33.364000+00:00,,0.0406
2023-07-24 12:09:39.601000+00:00,0.3054,
2023-07-24 12:09:43.364000+00:00,,0.1204
2023-07-24 12:09:49.601000+00:00,0.3087,
2023-07-24 12:09:53.364000+00:00,,0.1639
2023-07-24 12:09:59.601000+00:00,0.3093,
2023-07-24 12:10:03.364000+00:00,,0.1362
2023-07-24 12:10:09.601000+00:00,0.3116,
2023-07-24 12:10:13.364000+00:00,,0.288
2023-07-24 12:10:19.601000+00:00,0.3126,
2023-07-24 12:10:23.364000+00:00,,0.0645
2023-07-24 12:10:29.601000+00:00,0.3134,
2023-07-24 12:10:33.364000+00:00,,0.1642
2023-07-24 12:10:39.601000+00:00,0.3169,
2023-07-24 12:10:43.364000+00:00,,0.1332
2023-07-24 12:10:49.601000+00:00,0.3174,
2023-07-24 12:10:53.364000+00:00,,0.1447
2023-07-24 12:10:59.601000+00:00,0.3274,
2023-07-24 12:11:03.364000+00:00,,0.274
2023-07-24 12:11:09.601000+00:00,0.3283,
2023-07-24 12:11:13.364000+00:00,,0.186
2023-07-24 12:11:19.601000+00:00,0.3312,
2023-07-24 12:11:23.364000+00:00,,0.22
2023-07-24 12:11:29.601000+00:00,0.3318,
2023-07-24 12:11:33.364000+00:00,,0.0842
2023-07-24 12:11:39.601000+00:00,0.334,
2023-07-24 12:11:43.364000+00:00,,0.3176
2023-07-24 12:11:49.601000+00:00,0.3369,
2023-07-24 12:11:53.364000+00:00,,0.127
2023-07-24 12:11:59.601000+00:00,0.3393,
2023-07-24 12:12:03.364000+00:00,,0.2204
2023-07-24 12:12:09.601000+00:00,0.3548,
2023-07-24 12:12:13.364000+00:00,,0.3162
2023-07-24 12:12:19.601000+00:00,0.3558,
2023-07-24 12:12:23.364000+00:00,,0.109
2023-07-24 12:12:29.601000+00:00,0.3611,
2023-07-24 12:12:33.364000+00:00,,0.2957
2023-07-24 12:12:39.601000+00:00,0.3657,
2023-07-24 12:12:43.364000+00:00,,0.1282
2023-07-24 12:12:49.601000+00:00,0.3689,
2023-07-24 12:12:53.364000+00:00,,0.0884
2023-07-24 12:12:59.601000+00:00,0.3703,
2023-07-24 12:13:03.364000+00:00,,0.0898
2023-07-24 12:13:09.601000+00:00,0.3705,
2023-07-24 12:13:13.364000+00:00,,0.1914
2023-07-24 12:13:19.601000+00:00,0.3767,
2023-07-24 12:13:23.364000+00:00,,0.221
2023-07-24 12:13:29.601000+00:00,0.3797,
2023-07-24 12:13:33.364000+00:00,,0.0901
2023-07-24 12:13:39.601000+00:00,0.382,
2023-07-24 12:13:43.364000+00:00,,0.0637
2023-07-24 12:13:49.601000+00:00,0.3833,
2023-07-24 12:13:53.364000+00:00,,0.1276
2023-07-24 12:13:59.601000+00:00,0.3852,
2023-07-24 12:14:03.364000+00:00,,0.1027
2023-07-24 12:14:09.601000+00:00,0.3898,
2023-07-24 12:14:13.364000+00:00,,0.2208
2023-07-24 12:14:19.601000+00:00,0.3925,
2023-07-24 12:14:23.364000+00:00,,0.1235
2023-07-24 12:14:29.601000+00:00,0.3956,
2023-07-24 12:14:33.364000+00:00,,0.0634
2023-07-24 12:14:39.601000+00:00,0.396,
2023-07-24 12:14:43.364000+00:00,,0.1146
2023-07-24 12:14:49.601000+00:00,0.3987,
2023-07-24 12:14:53.364000+00:00,,0.0923
2023-07-24 12:14:59.601000+00:00,0.3992,
2023-07-24 12:15:03.364000+00:00,,0.0704
2023-07-24 12:15:09.601000+00:00,0.4055,
2023-07-24 12:15:13.364000+00:00,,0.2403
2023-07-24 12:15:19.601000+00:00,0.4123,
2023-07-24 12:15:23.364000+00:00,,0.189
2023-07-24 12:15:29.601000+00:00,0.4153,
2023-07-24 12:15:33.364000+00:00,,0.1063
2023-07-24 12:15:39.601000+00:00,0.4176,
2023-07-24 12:15:43.364000+00:00,,0.1197
2023-07-24 12:15:49.601000+00:00,0.4204,
2023-07-24 12:15:53.364000+00:00,,0.1352
