@timestamp,cpu,memory
2023-07-24 12:07:54.558000+00:00,0.5039,
2023-07-24 12:07:57.596000+00:00,,0.5977
2023-07-24 12:08:04.558000+00:00,0.4171,
2023-07-24 12:08:07.596000+00:00,,0.5966
2023-07-24 12:08:14.558000+00:00,0.6259,
2023-07-24 12:08:17.596000+00:00,,0.6081
2023-07-24 12:08:24.558000+00:00,0.5688,
2023-07-24 12:08:27.596000+00:00,,0.6102
2023-07-24 12:08:34.559000+00:00,0.7543,
2023-07-24 12:08:37.596000+00:00,,0.6164
2023-07-24 12:08:44.558000+00:00,0.7124,
2023-07-24 12:08:47.596000+00:00,,0.6175
2023-07-24 12:08:54.558000+00:00,0.7842,
2023-07-24 12:08:57.597000+00:00,,0.623
2023-07-24 12:09:04.558000+00:00,0.7879,
2023-07-24 12:09:07.597000+00:00,,0.6236
2023-07-24 12:09:14.558000+00:00,0.7217,
2023-07-24 12:09:17.597000+00:00,,0.6266
2023-07-24 12:09:24.558000+00:00,0.7841,
2023-07-24 12:09:27.596000+00:00,,0.6278
2023-07-24 12:09:34.558000+00:00,0.919,
2023-07-24 12:09:37.596000+00:00,,0.6341
2023-07-24 12:09:44.558000+00:00,0.9263,
2023-07-24 12:09:47.597000+00:00,,0.6371
2023-07-24 12:09:54.558000+00:00,0.9056,
2023-07-24 12:09:57.596000+00:00,,0.6467
2023-07-24 12:10:04.558000+00:00,0.9796,
2023-07-24 12:10:07.596000+00:00,,0.6473
2023-07-24 12:10:14.558000+00:00,0.919,
2023-07-24 12:10:17.596000+00:00,,0.6518
2023-07-24 12:10:24.558000+00:00,0.9795,
2023-07-24 12:10:27.596000+00:00,,0.6579
2023-07-24 12:10:34.558000+00:00,0.9955,
2023-07-24 12:10:37.596000+00:00,,0.6611
2023-07-24 12:10:44.558000+00:00,0.9865,
2023-07-24 12:10:47.596000+00:00,,0.662
2023-07-24 12:10:54.558000+00:00,0.993,
2023-07-24 12:10:57.596000+00:00,,0.6669
2023-07-24 12:11:04.558000+00:00,0.993,
2023-07-24 12:11:07.596000+00:00,,0.6659
2023-07-24 12:11:14.558000+00:00,0.9955,
2023-07-24 12:11:17.596000+00:00,,0.6715
2023-07-24 12:11:24.558000+00:00,0.9745,
2023-07-24 12:11:27.596000+00:00,,0.6711
2023-07-24 12:11:34.558000+00:00,0.9935,
2023-07-24 12:11:37.596000+00:00,,0.6746
2023-07-24 12:11:44.558000+00:00,0.992,
2023-07-24 12:11:47.596000+00:00,,0.6771
2023-07-24 12:11:54.558000+00:00,0.9975,
2023-07-24 12:11:57.596000+00:00,,0.6797
2023-07-24 12:12:04.558000+00:00,0.9935,
2023-07-24 12:12:07.596000+00:00,,0.6805
2023-07-24 12:12:14.558000+00:00,0.9905,
2023-07-24 12:12:17.596000+00:00,,0.681
2023-07-24 12:12:24.558000+00:00,0.998,
2023-07-24 12:12:27.596000+00:00,,0.6866
2023-07-24 12:12:34.558000+00:00,0.9945,
2023-07-24 12:12:37.596000+00:00,,0.685
2023-07-24 12:12:44.558000+00:00,0.998,
2023-07-24 12:12:47.596000+00:00,,0.6897
2023-07-24 12:12:54.558000+00:00,0.9985,
2023-07-24 12:12:57.596000+00:00,,0.6914
2023-07-24 12:13:04.558000+00:00,0.998,
2023-07-24 12:13:07.596000+00:00,,0.6909
2023-07-24 12:13:14.558000+00:00,0.996,
2023-07-24 12:13:17.596000+00:00,,0.6923
2023-07-24 12:13:24.558000+00:00,0.993,
2023-07-24 12:13:27.596000+00:00,,0.6954
2023-07-24 12:13:34.558000+00:00,0.999,
2023-07-24 12:13:37.596000+00:00,,0.6976
2023-07-24 12:13:44.558000+00:00,0.999,
2023-07-24 12:13:47.596000+00:00,,0.6958
2023-07-24 12:13:54.558000+00:00,0.997,
2023-07-24 12:13:57.596000+00:00,,0.6876
2023-07-24 12:14:04.558000+00:00,0.9965,
2023-07-24 12:14:07.596000+00:00,,0.6902
2023-07-24 12:14:14.558000+00:00,0.9935,
2023-07-24 12:14:17.597000+00:00,,0.6943
2023-07-24 12:14:24.558000+00:00,0.999,
2023-07-24 12:14:27.597000+00:00,,0.6975
2023-07-24 12:14:34.558000+00:00,0.9995,
2023-07-24 12:14:37.596000+00:00,,0.7026
2023-07-24 12:14:44.558000+00:00,0.9975,
2023-07-24 12:14:47.596000+00:00,,0.7008
2023-07-24 12:14:54.558000+00:00,0.9985,
2023-07-24 12:14:57.596000+00:00,,0.7013
2023-07-24 12:15:04.558000+00:00,0.997,
2023-07-24 12:15:07.596000+00:00,,0.7052
2023-07-24 12:15:14.558000+00:00,0.993,
2023-07-24 12:15:17.596000+00:00,,0.7019
2023-07-24 12:15:24.558000+00:00,0.9985,
2023-07-24 12:15:27.596000+00:00,,0.7055
2023-07-24 12:15:34.558000+00:00,0.9975,
2023-07-24 12:15:37.596000+00:00,,0.7054
2023-07-24 12:15:44.558000+00:00,0.9975,
2023-07-24 12:15:47.596000+00:00,,0.7056
2023-07-24 12:15:54.558000+00:00,0.995,
