@timestamp,cpu,memory
2023-08-17 14:25:31.931000+00:00,0.0035,
2023-08-17 14:25:31.937000+00:00,,0.2288
2023-08-17 14:25:31.940000+00:00,,0.2938
2023-08-17 14:25:31.942000+00:00,,0.2311
2023-08-17 14:25:31.955000+00:00,,0.2295
2023-08-17 14:25:31.964000+00:00,,0.2307
2023-08-17 14:25:31.965000+00:00,0.0015,
2023-08-17 14:25:31.971000+00:00,0.003,
2023-08-17 14:25:32.030000+00:00,0.0025,
2023-08-17 14:25:32.046000+00:00,,0.3163
2023-08-17 14:25:32.068000+00:00,0.002,
2023-08-17 14:25:32.077000+00:00,0.0572,
2023-08-17 14:25:32.090000+00:00,0.0015,
2023-08-17 14:25:32.108000+00:00,,0.292
2023-08-17 14:25:32.131000+00:00,0.0005,
2023-08-17 14:25:32.147000+00:00,,0.2301
2023-08-17 14:25:32.158000+00:00,,0.2326
2023-08-17 14:25:32.162000+00:00,0.0015,
2023-08-17 14:25:32.163000+00:00,,0.2306
2023-08-17 14:25:32.181000+00:00,,0.2287
2023-08-17 14:25:32.191000+00:00,0.2433,
2023-08-17 14:25:32.207000+00:00,0.0025,
2023-08-17 14:25:32.208000+00:00,0.002,
2023-08-17 14:25:32.209000+00:00,,0.3189
2023-08-17 14:25:32.223000+00:00,0.0025,
2023-08-17 14:25:32.233000+00:00,,0.2281
2023-08-17 14:25:32.234000+00:00,,0.28775
2023-08-17 14:25:32.238000+00:00,,0.2272
2023-08-17 14:25:32.254000+00:00,0.0005,
2023-08-17 14:25:32.295000+00:00,,0.2283
2023-08-17 14:25:32.303000+00:00,0.002,
2023-08-17 14:25:32.309000+00:00,,0.2301
2023-08-17 14:25:32.322000+00:00,,0.2307
2023-08-17 14:25:32.342000+00:00,0.564,
2023-08-17 14:25:32.375000+00:00,,0.321
2023-08-17 14:25:32.383000+00:00,,0.3414
2023-08-17 14:25:32.397000+00:00,,0.2295
2023-08-17 14:25:32.429000+00:00,0.1389,
2023-08-17 14:25:32.453000+00:00,0.0025,
2023-08-17 14:25:32.462000+00:00,,0.4033
2023-08-17 14:25:32.466000+00:00,0.0,
2023-08-17 14:25:32.469000+00:00,0.0015,
2023-08-17 14:25:32.474000+00:00,0.2379,
