cut_index,vmaf,msssim,psnr,psnrhvs,ssim,vifp,psnrhvsm,pesq,visqol,session,userFrom,userTo,@timestamp
0,0.8064398885777784,0.9830592488888886,30.29638355111112,27.12772458444443,0.9872046422222233,0.7541737822222221,29.172989666666705,0.517875,0.720655,LoadTestSession10,User2,User5,2023-08-17 14:27:10.795000+00:00
1,0.7844567031777774,0.9826179888888891,30.327754597777783,27.22802357111115,0.9860158799999998,0.717764184444445,29.662747786666653,0.403875,0.6821975,LoadTestSession10,User2,User5,2023-08-17 14:27:27.795000+00:00
2,0.8001613401333327,0.9825095222222213,30.187479426666663,27.046412162222207,0.9864823444444444,0.7352254533333334,29.15641611555556,0.40712499999999996,0.6981775,LoadTestSession10,User2,User5,2023-08-17 14:27:44.795000+00:00
3,0.8017026320666666,0.9826997955555556,30.236142037777768,27.096169375555576,0.9866516377777781,0.7392999888888895,29.21242939333333,0.499,0.7128125,LoadTestSession10,User2,User5,2023-08-17 14:28:01.795000+00:00
4,0.7870717373999999,0.9817001311111119,30.019937188888896,26.881610046666676,0.9858370044444448,0.7247716266666661,29.07345214444446,0.45300000000000007,0.699535,LoadTestSession10,User2,User5,2023-08-17 14:28:18.795000+00:00
5,0.7825412125555554,0.9820273488888901,30.25330451555555,27.16696473111111,0.9856630666666665,0.7117364955555558,29.51275209777779,0.505875,0.6963,LoadTestSession10,User2,User5,2023-08-17 14:28:35.795000+00:00
6,0.7902987281777779,0.9824845466666666,30.655569340000007,27.574910873333348,0.9862049222222221,0.7244115622222225,30.006858308888877,0.584875,0.7070725,LoadTestSession10,User2,User5,2023-08-17 14:28:52.795000+00:00
7,0.7911618546666668,0.9818775088888896,30.135963613333345,27.012473806666662,0.9859316755555549,0.7251844711111114,29.203708293333328,0.498,0.71731,LoadTestSession10,User2,User5,2023-08-17 14:29:09.795000+00:00
8,0.8013011656888893,0.9830352377777772,30.34000996222224,27.21721856000001,0.9867861488888888,0.7348642933333334,29.40109792888888,0.6128750000000001,0.733675,LoadTestSession10,User2,User5,2023-08-17 14:29:26.795000+00:00
9,0.7978356504666664,0.9828897311111097,30.3589748288889,27.246548026666673,0.9866305844444457,0.7310505377777774,29.488014488888897,0.470125,0.6893475,LoadTestSession10,User2,User5,2023-08-17 14:29:43.795000+00:00
10,0.7615662058666672,0.9809358777777769,30.043897577777777,26.99980158222223,0.9843246311111109,0.6871686355555555,29.5367286088889,0.64675,0.740525,LoadTestSession10,User2,User5,2023-08-17 14:30:00.795000+00:00
11,0.7872517133777777,0.981828688888889,30.06061036444448,26.95792561555556,0.9855312311111106,0.7126538844444442,29.196124428888886,0.6128750000000001,0.7250875,LoadTestSession10,User2,User5,2023-08-17 14:30:17.795000+00:00
