@timestamp,cpu,memory
2023-08-17 12:35:16.989000+00:00,0.0259,
2023-08-17 12:35:23.328000+00:00,,0.5998
2023-08-17 12:35:26.989000+00:00,0.0203,
2023-08-17 12:35:33.328000+00:00,,0.5998
2023-08-17 12:35:36.989000+00:00,0.0251,
2023-08-17 12:35:43.328000+00:00,,0.5997
2023-08-17 12:35:46.989000+00:00,0.0037,
2023-08-17 12:35:53.328000+00:00,,0.5998
2023-08-17 12:35:56.989000+00:00,0.0022,
2023-08-17 12:36:03.328000+00:00,,0.5999
2023-08-17 12:36:06.989000+00:00,0.0226,
2023-08-17 12:36:13.328000+00:00,,0.5999
2023-08-17 12:36:16.989000+00:00,0.0429,
2023-08-17 12:36:23.328000+00:00,,0.5999
2023-08-17 12:36:26.989000+00:00,0.0158,
2023-08-17 12:36:33.328000+00:00,,0.6001
2023-08-17 12:36:36.989000+00:00,0.0306,
2023-08-17 12:36:43.328000+00:00,,0.6001
2023-08-17 12:36:46.989000+00:00,0.0155,
2023-08-17 12:36:53.328000+00:00,,0.6002
2023-08-17 12:36:56.989000+00:00,0.0318,
2023-08-17 12:37:03.328000+00:00,,0.6002
2023-08-17 12:37:06.989000+00:00,0.0191,
2023-08-17 12:37:13.328000+00:00,,0.6003
2023-08-17 12:37:16.989000+00:00,0.0032,
2023-08-17 12:37:23.328000+00:00,,0.6003
2023-08-17 12:37:26.989000+00:00,0.0028,
2023-08-17 12:37:33.328000+00:00,,0.6003
2023-08-17 12:37:36.989000+00:00,0.0162,
2023-08-17 12:37:43.328000+00:00,,0.6005
2023-08-17 12:37:46.989000+00:00,0.0322,
2023-08-17 12:37:53.328000+00:00,,0.6008
2023-08-17 12:37:56.989000+00:00,0.0304,
2023-08-17 12:38:03.328000+00:00,,0.6011
2023-08-17 12:38:06.989000+00:00,0.0296,
2023-08-17 12:38:13.328000+00:00,,0.6014
2023-08-17 12:38:16.989000+00:00,0.0148,
2023-08-17 12:38:23.328000+00:00,,0.6016
2023-08-17 12:38:26.989000+00:00,0.0313,
2023-08-17 12:38:33.328000+00:00,,0.6019
2023-08-17 12:38:36.989000+00:00,0.0194,
2023-08-17 12:38:43.328000+00:00,,0.602
2023-08-17 12:38:46.989000+00:00,0.014,
2023-08-17 12:38:53.328000+00:00,,0.6019
2023-08-17 12:38:56.989000+00:00,0.015,
2023-08-17 12:39:03.328000+00:00,,0.602
2023-08-17 12:39:06.989000+00:00,0.0523,
2023-08-17 12:39:13.328000+00:00,,0.6023
2023-08-17 12:39:16.989000+00:00,0.0386,
2023-08-17 12:39:23.328000+00:00,,0.6023
2023-08-17 12:39:26.989000+00:00,0.034,
2023-08-17 12:39:33.328000+00:00,,0.6026
2023-08-17 12:39:36.989000+00:00,0.0403,
2023-08-17 12:39:43.328000+00:00,,0.6029
2023-08-17 12:39:46.989000+00:00,0.0263,
2023-08-17 12:39:53.328000+00:00,,0.6029
2023-08-17 12:39:56.989000+00:00,0.0181,
2023-08-17 12:40:03.328000+00:00,,0.6031
2023-08-17 12:40:06.989000+00:00,0.0324,
2023-08-17 12:40:13.328000+00:00,,0.6032
2023-08-17 12:40:16.989000+00:00,0.0149,
2023-08-17 12:40:23.328000+00:00,,0.6033
2023-08-17 12:40:26.989000+00:00,0.0253,
2023-08-17 12:40:33.328000+00:00,,0.6038
2023-08-17 12:40:36.989000+00:00,0.0659,
2023-08-17 12:40:43.328000+00:00,,0.6039
2023-08-17 12:40:46.989000+00:00,0.042,
2023-08-17 12:40:53.328000+00:00,,0.6042
2023-08-17 12:40:56.989000+00:00,0.0639,
2023-08-17 12:41:03.328000+00:00,,0.6045
2023-08-17 12:41:06.989000+00:00,0.0489,
2023-08-17 12:41:13.328000+00:00,,0.6047
2023-08-17 12:41:16.989000+00:00,0.0439,
2023-08-17 12:41:23.328000+00:00,,0.6048
2023-08-17 12:41:26.989000+00:00,0.0224,
2023-08-17 12:41:33.328000+00:00,,0.6037
2023-08-17 12:41:36.989000+00:00,0.033,
2023-08-17 12:41:43.328000+00:00,,0.6036
2023-08-17 12:41:46.989000+00:00,0.031,
2023-08-17 12:41:53.328000+00:00,,0.6039
2023-08-17 12:41:56.989000+00:00,0.0631,
2023-08-17 12:42:03.328000+00:00,,0.6036
2023-08-17 12:42:06.989000+00:00,0.0897,
2023-08-17 12:42:13.328000+00:00,,0.6043
2023-08-17 12:42:16.989000+00:00,0.0562,
2023-08-17 12:42:23.328000+00:00,,0.6188
2023-08-17 12:42:26.989000+00:00,0.203,
2023-08-17 12:42:33.328000+00:00,,0.6377
2023-08-17 12:42:36.989000+00:00,0.2919,
2023-08-17 12:42:43.328000+00:00,,0.6442
2023-08-17 12:42:46.989000+00:00,0.047,
2023-08-17 12:42:53.328000+00:00,,0.6437
2023-08-17 12:42:56.989000+00:00,0.0697,
2023-08-17 12:43:03.328000+00:00,,0.6436
2023-08-17 12:43:06.989000+00:00,0.0415,
2023-08-17 12:43:13.328000+00:00,,0.6433
2023-08-17 12:43:16.989000+00:00,0.0847,
2023-08-17 12:43:23.328000+00:00,,0.6436
2023-08-17 12:43:26.989000+00:00,0.046,
2023-08-17 12:43:33.328000+00:00,,0.6438
2023-08-17 12:43:36.989000+00:00,0.0648,
2023-08-17 12:43:43.328000+00:00,,0.6435
2023-08-17 12:43:46.989000+00:00,0.047,
2023-08-17 12:43:53.328000+00:00,,0.6435
2023-08-17 12:43:56.989000+00:00,0.0376,
2023-08-17 12:44:03.328000+00:00,,0.6432
2023-08-17 12:44:06.989000+00:00,0.0512,
2023-08-17 12:44:13.328000+00:00,,0.6434
2023-08-17 12:44:16.989000+00:00,0.0728,
2023-08-17 12:44:23.328000+00:00,,0.6436
2023-08-17 12:44:26.989000+00:00,0.0509,
2023-08-17 12:44:33.328000+00:00,,0.6437
2023-08-17 12:44:36.989000+00:00,0.0586,
2023-08-17 12:44:43.328000+00:00,,0.644
2023-08-17 12:44:46.989000+00:00,0.0688,
2023-08-17 12:44:53.328000+00:00,,0.6439
2023-08-17 12:44:56.989000+00:00,0.0318,
2023-08-17 12:45:03.328000+00:00,,0.6442
2023-08-17 12:45:06.989000+00:00,0.0884,
2023-08-17 12:45:13.328000+00:00,,0.6441
2023-08-17 12:45:16.989000+00:00,0.0533,
2023-08-17 12:45:23.328000+00:00,,0.6442
2023-08-17 12:45:26.989000+00:00,0.0424,
2023-08-17 12:45:33.328000+00:00,,0.6443
2023-08-17 12:45:36.989000+00:00,0.0642,
2023-08-17 12:45:43.328000+00:00,,0.6441
2023-08-17 12:45:46.989000+00:00,0.0602,
2023-08-17 12:45:53.328000+00:00,,0.6445
2023-08-17 12:45:56.989000+00:00,0.0579,
2023-08-17 12:46:03.328000+00:00,,0.6447
2023-08-17 12:46:06.989000+00:00,0.0457,
2023-08-17 12:46:13.328000+00:00,,0.6449
2023-08-17 12:46:16.989000+00:00,0.0526,
2023-08-17 12:46:23.328000+00:00,,0.6458
2023-08-17 12:46:26.989000+00:00,0.082,
2023-08-17 12:46:33.328000+00:00,,0.646
2023-08-17 12:46:36.989000+00:00,0.0434,
2023-08-17 12:46:43.328000+00:00,,0.6462
2023-08-17 12:46:46.989000+00:00,0.0219,
2023-08-17 12:46:53.328000+00:00,,0.6462
2023-08-17 12:46:56.989000+00:00,0.0427,
2023-08-17 12:47:03.328000+00:00,,0.6464
2023-08-17 12:47:06.989000+00:00,0.0515,
2023-08-17 12:47:13.328000+00:00,,0.6467
2023-08-17 12:47:16.989000+00:00,0.0857,
2023-08-17 12:47:23.328000+00:00,,0.6469
2023-08-17 12:47:26.989000+00:00,0.0439,
2023-08-17 12:47:33.328000+00:00,,0.6472
2023-08-17 12:47:36.989000+00:00,0.0722,
2023-08-17 12:47:43.328000+00:00,,0.6475
2023-08-17 12:47:46.989000+00:00,0.0378,
2023-08-17 12:47:53.328000+00:00,,0.6478
2023-08-17 12:47:56.989000+00:00,0.1311,
2023-08-17 12:48:03.328000+00:00,,0.6478
2023-08-17 12:48:06.989000+00:00,0.0304,
2023-08-17 12:48:13.328000+00:00,,0.6479
2023-08-17 12:48:16.989000+00:00,0.0385,
2023-08-17 12:48:23.328000+00:00,,0.6482
2023-08-17 12:48:26.989000+00:00,0.0729,
2023-08-17 12:48:33.328000+00:00,,0.634
2023-08-17 12:48:36.989000+00:00,0.0995,
2023-08-17 12:48:43.328000+00:00,,0.635
2023-08-17 12:48:46.989000+00:00,0.0606,
2023-08-17 12:48:53.328000+00:00,,0.6356
2023-08-17 12:48:56.989000+00:00,0.0347,
2023-08-17 12:49:03.328000+00:00,,0.6363
2023-08-17 12:49:06.989000+00:00,0.1128,
2023-08-17 12:49:13.328000+00:00,,0.6368
2023-08-17 12:49:16.989000+00:00,0.0779,
2023-08-17 12:49:23.328000+00:00,,0.6369
2023-08-17 12:49:26.989000+00:00,0.0425,
2023-08-17 12:49:33.328000+00:00,,0.6373
2023-08-17 12:49:36.989000+00:00,0.0597,
2023-08-17 12:49:43.328000+00:00,,0.6372
2023-08-17 12:49:46.989000+00:00,0.0688,
2023-08-17 12:49:53.328000+00:00,,0.6373
2023-08-17 12:49:56.989000+00:00,0.0458,
2023-08-17 12:50:03.328000+00:00,,0.6376
2023-08-17 12:50:06.989000+00:00,0.0522,
2023-08-17 12:50:13.328000+00:00,,0.6384
2023-08-17 12:50:16.989000+00:00,0.0907,
2023-08-17 12:50:23.328000+00:00,,0.6383
2023-08-17 12:50:26.989000+00:00,0.0514,
2023-08-17 12:50:33.328000+00:00,,0.6388
2023-08-17 12:50:36.989000+00:00,0.0413,
2023-08-17 12:50:43.328000+00:00,,0.6392
2023-08-17 12:50:46.989000+00:00,0.0734,
2023-08-17 12:50:53.328000+00:00,,0.6397
2023-08-17 12:50:56.989000+00:00,0.0546,
2023-08-17 12:51:03.328000+00:00,,0.6399
2023-08-17 12:51:06.989000+00:00,0.1102,
2023-08-17 12:51:13.328000+00:00,,0.6402
2023-08-17 12:51:16.989000+00:00,0.048,
2023-08-17 12:51:23.328000+00:00,,0.6412
2023-08-17 12:51:26.989000+00:00,0.1457,
2023-08-17 12:51:33.328000+00:00,,0.6414
2023-08-17 12:51:36.989000+00:00,0.0482,
2023-08-17 12:51:43.328000+00:00,,0.6417
2023-08-17 12:51:46.989000+00:00,0.1178,
2023-08-17 12:51:53.328000+00:00,,0.643
2023-08-17 12:51:56.989000+00:00,0.1003,
2023-08-17 12:52:03.328000+00:00,,0.6438
2023-08-17 12:52:06.989000+00:00,0.1438,
2023-08-17 12:52:13.328000+00:00,,0.6441
2023-08-17 12:52:16.989000+00:00,0.0799,
2023-08-17 12:52:23.328000+00:00,,0.6454
2023-08-17 12:52:26.989000+00:00,0.0559,
2023-08-17 12:52:33.328000+00:00,,0.6465
2023-08-17 12:52:36.989000+00:00,0.1698,
2023-08-17 12:52:43.328000+00:00,,0.6478
2023-08-17 12:52:46.989000+00:00,0.1805,
2023-08-17 12:52:53.328000+00:00,,0.6487
2023-08-17 12:52:56.989000+00:00,0.1013,
2023-08-17 12:53:03.328000+00:00,,0.6489
2023-08-17 12:53:06.989000+00:00,0.084,
2023-08-17 12:53:13.328000+00:00,,0.649
2023-08-17 12:53:16.989000+00:00,0.1269,
2023-08-17 12:53:23.328000+00:00,,0.649
2023-08-17 12:53:26.989000+00:00,0.0896,
2023-08-17 12:53:33.328000+00:00,,0.6501
2023-08-17 12:53:36.989000+00:00,0.1965,
2023-08-17 12:53:43.328000+00:00,,0.6504
2023-08-17 12:53:46.989000+00:00,0.1008,
2023-08-17 12:53:53.328000+00:00,,0.6505
2023-08-17 12:53:56.989000+00:00,0.0715,
2023-08-17 12:54:03.328000+00:00,,0.6514
2023-08-17 12:54:06.989000+00:00,0.1132,
2023-08-17 12:54:13.328000+00:00,,0.6534
2023-08-17 12:54:16.989000+00:00,0.1071,
2023-08-17 12:54:23.328000+00:00,,0.6537
2023-08-17 12:54:26.989000+00:00,0.1207,
2023-08-17 12:54:33.328000+00:00,,0.6548
2023-08-17 12:54:36.989000+00:00,0.2033,
2023-08-17 12:54:43.328000+00:00,,0.6552
2023-08-17 12:54:46.989000+00:00,0.1236,
2023-08-17 12:54:53.328000+00:00,,0.6571
2023-08-17 12:54:56.989000+00:00,0.1869,
2023-08-17 12:55:03.328000+00:00,,0.6574
2023-08-17 12:55:06.989000+00:00,0.2661,
2023-08-17 12:55:13.328000+00:00,,0.6588
2023-08-17 12:55:16.989000+00:00,0.1206,
