@timestamp,memory,cpu
2023-08-17 12:35:20.288000+00:00,0.6283,
2023-08-17 12:35:22.727000+00:00,,0.2396
2023-08-17 12:35:30.288000+00:00,0.6285,
2023-08-17 12:35:32.725000+00:00,,0.2924
2023-08-17 12:35:40.288000+00:00,0.6294,
2023-08-17 12:35:42.725000+00:00,,0.3089
2023-08-17 12:35:50.288000+00:00,0.6292,
2023-08-17 12:35:52.725000+00:00,,0.3197
2023-08-17 12:36:00.288000+00:00,0.6294,
2023-08-17 12:36:02.725000+00:00,,0.3771
2023-08-17 12:36:10.288000+00:00,0.6299,
2023-08-17 12:36:12.726000+00:00,,0.3806
2023-08-17 12:36:20.288000+00:00,0.6309,
2023-08-17 12:36:22.726000+00:00,,0.4416
2023-08-17 12:36:30.288000+00:00,0.6305,
2023-08-17 12:36:32.728000+00:00,,0.4252
2023-08-17 12:36:40.288000+00:00,0.6316,
2023-08-17 12:36:42.725000+00:00,,0.4877
2023-08-17 12:36:50.288000+00:00,0.631,
2023-08-17 12:36:52.725000+00:00,,0.4861
2023-08-17 12:37:00.288000+00:00,0.6322,
2023-08-17 12:37:02.725000+00:00,,0.5715
2023-08-17 12:37:10.292000+00:00,0.6313,
2023-08-17 12:37:12.725000+00:00,,0.5454
2023-08-17 12:37:20.288000+00:00,0.6314,
2023-08-17 12:37:22.725000+00:00,,0.5097
2023-08-17 12:37:30.288000+00:00,0.6313,
2023-08-17 12:37:32.725000+00:00,,0.5607
2023-08-17 12:37:40.288000+00:00,0.6321,
2023-08-17 12:37:42.725000+00:00,,0.5567
2023-08-17 12:37:50.288000+00:00,0.6329,
2023-08-17 12:37:52.725000+00:00,,0.6625
2023-08-17 12:38:00.288000+00:00,0.635,
2023-08-17 12:38:02.725000+00:00,,0.6956
2023-08-17 12:38:10.292000+00:00,0.6332,
2023-08-17 12:38:12.725000+00:00,,0.6482
2023-08-17 12:38:20.294000+00:00,0.6331,
2023-08-17 12:38:22.725000+00:00,,0.7581
2023-08-17 12:38:30.288000+00:00,0.6343,
2023-08-17 12:38:32.725000+00:00,,0.7697
2023-08-17 12:38:40.288000+00:00,0.6339,
2023-08-17 12:38:42.725000+00:00,,0.6406
2023-08-17 12:38:50.288000+00:00,0.6346,
2023-08-17 12:38:52.725000+00:00,,0.6876
2023-08-17 12:39:00.288000+00:00,0.6338,
2023-08-17 12:39:02.725000+00:00,,0.7265
2023-08-17 12:39:10.288000+00:00,0.6344,
2023-08-17 12:39:12.725000+00:00,,0.588
2023-08-17 12:39:20.288000+00:00,0.6348,
2023-08-17 12:39:22.725000+00:00,,0.6719
2023-08-17 12:39:30.288000+00:00,0.6361,
2023-08-17 12:39:32.725000+00:00,,0.8303
2023-08-17 12:39:40.288000+00:00,0.6372,
2023-08-17 12:39:42.725000+00:00,,0.8617
2023-08-17 12:39:50.288000+00:00,0.6357,
2023-08-17 12:39:52.727000+00:00,,0.8212
2023-08-17 12:40:00.288000+00:00,0.6379,
2023-08-17 12:40:02.725000+00:00,,0.9057
2023-08-17 12:40:10.288000+00:00,0.6356,
2023-08-17 12:40:12.725000+00:00,,0.6837
2023-08-17 12:40:20.288000+00:00,0.6357,
2023-08-17 12:40:22.725000+00:00,,0.8306
2023-08-17 12:40:30.295000+00:00,0.6379,
2023-08-17 12:40:32.725000+00:00,,0.8865
2023-08-17 12:40:40.288000+00:00,0.6388,
2023-08-17 12:40:42.725000+00:00,,0.8844
2023-08-17 12:40:50.288000+00:00,0.64,
2023-08-17 12:40:52.725000+00:00,,0.9171
2023-08-17 12:41:00.288000+00:00,0.6407,
2023-08-17 12:41:02.725000+00:00,,0.8904
2023-08-17 12:41:10.291000+00:00,0.6386,
2023-08-17 12:41:12.725000+00:00,,0.8308
2023-08-17 12:41:20.288000+00:00,0.6395,
2023-08-17 12:41:22.725000+00:00,,0.9437
2023-08-17 12:41:30.288000+00:00,0.6388,
2023-08-17 12:41:32.725000+00:00,,0.9746
2023-08-17 12:41:40.288000+00:00,0.639,
2023-08-17 12:41:42.725000+00:00,,0.92
2023-08-17 12:41:50.288000+00:00,0.6398,
